,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
25,Factory Manager (Olive Oil) - Somerset West/ Winel at Rory Mackie & Associates,"Cape Town Region, Western Cape",Permanent Senior position,Rory Mackie & Associates,R Undisclosed,,10 Dec 2022,31 Dec 2022,21,21,https://www.careerjunction.co.za/factory-manager-olive-oil-somerset-west-winel-at-rory-mackie-%26amp-associates-job-2494867.aspx
26,Plant Manager at Mpact,"Germiston, Gauteng",Permanent Management position,Humanity SA,"R35,000 - R50,000 per month",35000.0,10 Dec 2022,26 Dec 2022,16,16,https://www.careerjunction.co.za/plant-manager-at-mpact-job-2493580.aspx
27,Applications Manager,"Durban (Durban CBD), KwaZulu-Natal",Permanent Senior position,Tipp Focus,Undisclosed,,10 Dec 2022,26 Dec 2022,16,16,https://www.careerjunction.co.za/applications-manager-job-2493567.aspx
28,Marketing Research Manager,"Johannesburg Region, Gauteng",Permanent Senior position,DAV,"R70,800 - R75,000 per month",70800.0,10 Dec 2022,22 Dec 2022,12,12,https://www.careerjunction.co.za/marketing-research-manager-job-2493559.aspx
29,Senior Accountant / Financial Manager Designate,"Selby, Gauteng",Permanent Senior position,Wexford Search and Selection,"R37,500 - R41,700 per month",37500.0,10 Dec 2022,26 Dec 2022,16,16,https://www.careerjunction.co.za/senior-accountant-financial-manager-designate-job-2493546.aspx
30,Manager Electronics Engineering at NRF National Research Foundation,"Cape Town, Western Cape",Permanent Specialist EE position,National Research Foundation,R Undisclosed,,09 Dec 2022,15 Dec 2022,6,5,https://www.careerjunction.co.za/manager-electronics-engineering-at-nrf-national-research-foundation-job-2494795.aspx
31,Electrical Field Manager at Wayne's Electrical,"Kempton Park, Gauteng",Permanent Intermediate position,Wayne's Electrical (Pty) Ltd,R Undisclosed,,09 Dec 2022,26 Dec 2022,17,16,https://www.careerjunction.co.za/electrical-field-manager-at-wayne-s-electrical-job-2493467.aspx
32,Kitchen Manager at Village & Life,"Knysna, Western Cape",Permanent Senior position,Career Custodians,"R20,000 - R26,000 per month",20000.0,09 Dec 2022,26 Dec 2022,17,16,https://www.careerjunction.co.za/kitchen-manager-at-village-%26-life-job-2493564.aspx
33,Operations / Commercial Manager - Roto Moulding Manufacturing,"Johannesburg, Gauteng",Permanent Intermediate position,Talentsphere,R Undisclosed,,09 Dec 2022,30 Dec 2022,21,20,https://www.careerjunction.co.za/operations-commercial-manager-roto-moulding-manufacturing-job-2494885.aspx
34,Paid Media Senior Search Account Manager at Datafin Recruitment,"Cape Town, Western Cape",Permanent Intermediate position,Datafin,R Undisclosed,,09 Dec 2022,20 Dec 2022,11,10,https://www.careerjunction.co.za/paid-media-senior-search-account-manager-at-datafin-recruitment-job-2493534.aspx
35,Assistant Tasting Room Manager - Somerset West/Win at Rory Mackie & Associates,"Cape Town Region, Western Cape",Permanent Junior position,Rory Mackie & Associates,R Undisclosed,,09 Dec 2022,31 Dec 2022,22,21,https://www.careerjunction.co.za/assistant-tasting-room-manager-somerset-west-win-at-rory-mackie-%26amp-associates-job-2494873.aspx
36,Property Portfolio Manager at Business Partners,"Houghton Estate, Gauteng",Permanent Specialist position,Business Partners,R Undisclosed,,09 Dec 2022,03 Jan 2023,25,24,https://www.careerjunction.co.za/property-portfolio-manager-at-business-partners-job-2494750.aspx
37,Hospital Manager,"Eikenbosch, Western Cape",Permanent Intermediate position,Jordan HR,R Undisclosed,,09 Dec 2022,10 Dec 2022,1,0,https://www.careerjunction.co.za/hospital-manager-job-2494834.aspx
38,Construction Manager,"Roodepoort, Gauteng",Permanent Management position,InspHired Recruitment Solutions,"R15,000 - R25,000 per month",15000.0,09 Dec 2022,26 Dec 2022,17,16,https://www.careerjunction.co.za/construction-manager-job-2493543.aspx
39,Social Media Manager,"Rosebank, Gauteng",Permanent Intermediate position,Leadwood Recruitment,"R30,000 - R40,000 per month",30000.0,09 Dec 2022,26 Dec 2022,17,16,https://www.careerjunction.co.za/social-media-manager-job-2493517.aspx
40,Host Manager,"Camps Bay, Western Cape",Permanent Senior position,Career Custodians,"R16,000 - R21,000 per month",16000.0,09 Dec 2022,12 Jan 2023,34,33,https://www.careerjunction.co.za/host-manager-job-2490903.aspx
41,Software Developer Manager (NGO),"KwaZulu-Natal, South Africa",Permanent Senior position,SciTech Placements (Pty) Ltd,"R86,600 - R115,400 per month",86600.0,09 Dec 2022,26 Dec 2022,17,16,https://www.careerjunction.co.za/software-developer-manager-ngo-job-2493489.aspx
42,General Manager: Export Markets,"Johannesburg, Gauteng",Permanent Intermediate position,Boardroom Appointments,R Undisclosed,,09 Dec 2022,29 Dec 2022,20,19,https://www.careerjunction.co.za/general-manager-export-markets-job-2494777.aspx
43,Fleet Excellence Manager,"Johannesburg, Gauteng",Permanent Senior position,Boardroom Appointments,R Undisclosed,,09 Dec 2022,29 Dec 2022,20,19,https://www.careerjunction.co.za/fleet-excellence-manager-job-2494771.aspx
44,BUSINESS DEVELOPMENT MANAGER,"Houghton Estate, Gauteng",Permanent Senior position,Secondments,R Undisclosed,,09 Dec 2022,15 Dec 2022,6,5,https://www.careerjunction.co.za/business-development-manager-job-2495823.aspx
45,Logistic Manager,"Port Elizabeth, Eastern Cape",Permanent Management position,MPC Recruitment (MPC Recruitment),Undisclosed,,09 Dec 2022,12 Jan 2023,34,33,https://www.careerjunction.co.za/logistic-manager-job-2495815.aspx
46,Strategic and Commercial Manager,"Randburg, Gauteng",Permanent Management position,MPC Recruitment (MPC Recruitment),Undisclosed,,09 Dec 2022,16 Dec 2022,7,6,https://www.careerjunction.co.za/strategic-and-commercial-manager-job-2492370.aspx
47,Manager: ICT Architecture,"Pretoria, Gauteng",Permanent Management position,Kamo Placements,R Undisclosed,,09 Dec 2022,14 Dec 2022,5,4,https://www.careerjunction.co.za/manager-ict-architecture-job-2495855.aspx
48,Digital Marketing Manager (HubSpot) (Remote) at Datafin Recruitment,"Cape Town, Western Cape",Permanent Management position,Datafin,R Undisclosed,,09 Dec 2022,06 Jan 2023,28,27,https://www.careerjunction.co.za/digital-marketing-manager-hubspot-remote-at-datafin-recruitment-job-2495800.aspx
49,Group Technical Manager,"Johannesburg, Gauteng",Permanent Senior position,Boardroom Appointments,R Undisclosed,,09 Dec 2022,29 Dec 2022,20,19,https://www.careerjunction.co.za/group-technical-manager-job-2494778.aspx
50,IT Audit Manager,"Johannesburg North (Johannesburg North), Gauteng",Permanent Senior position,Milton Resourcing (Pty) Ltd,R Undisclosed,,09 Dec 2022,29 Dec 2022,20,19,https://www.careerjunction.co.za/it-audit-manager-job-2494682.aspx
51,Actuarial Manager,"Cape Town CBD, Western Cape",Permanent Management position,Che Leigh Personnel Consultants,R00 per month,0.0,09 Dec 2022,16 Dec 2022,7,6,https://www.careerjunction.co.za/actuarial-manager-job-2492354.aspx
52,Maintenance Manager at Headhunters,"Eastern Cape, South Africa",Permanent Intermediate position,Headhunters (Head Office),R Undisclosed,,09 Dec 2022,21 Dec 2022,12,11,https://www.careerjunction.co.za/maintenance-manager-at-headhunters-job-2493442.aspx
53,Professional Indemnity & Liability Manager,"Johannesburg, Gauteng",Temporary Senior position,ProApp HR Solutions,Undisclosed,,09 Dec 2022,12 Jan 2023,34,33,https://www.careerjunction.co.za/professional-indemnity-%26-liability-manager-job-2495834.aspx
54,Business Intelligence Manager,"Houghton Estate, Gauteng",Permanent Senior position,Manpower SA,"R81,700 - R83,300 per month",81700.0,09 Dec 2022,29 Dec 2022,20,19,https://www.careerjunction.co.za/business-intelligence-manager-job-2494755.aspx
55,Area Sales Manager at Headhunters,"Garden Route, Western Cape",Permanent Intermediate EE position,Headhunters (Head Office),R Undisclosed,,09 Dec 2022,30 Dec 2022,21,20,https://www.careerjunction.co.za/area-sales-manager-at-headhunters-job-2494629.aspx
56,Production Supervisor / Manager – Food Manufacturing,"Durban (Durban CBD), KwaZulu-Natal",Permanent Intermediate position,Talentsphere,R Undisclosed,,09 Dec 2022,29 Dec 2022,20,19,https://www.careerjunction.co.za/production-supervisor-manager-food-manufacturing-job-2494739.aspx
57,General Manager - 5* lodge Okavango Delta,Botswana,Permanent Management position,Integration Resourcing,R Undisclosed,,09 Dec 2022,12 Jan 2023,34,33,https://www.careerjunction.co.za/general-manager-5-lodge-okavango-delta-job-2495791.aspx
58,Tax Manager,"Johannesburg, Gauteng",Permanent Senior position,ProApp HR Solutions,"R48,000 - R58,000 per month",48000.0,09 Dec 2022,03 Jan 2023,25,24,https://www.careerjunction.co.za/tax-manager-job-2494643.aspx
59,Health and Safety Manager,"Pinelands, Western Cape",Permanent Intermediate EE position,Vital Element (Pty) Ltd,R Undisclosed,,09 Dec 2022,03 Jan 2023,25,24,https://www.careerjunction.co.za/health-and-safety-manager-job-2494776.aspx
60,Business Unit Manager,"Johannesburg Region, Gauteng",Permanent Management position,Lotus Recruitment,Undisclosed,,09 Dec 2022,03 Jan 2023,25,24,https://www.careerjunction.co.za/business-unit-manager-job-2494700.aspx
61,Fund Manager Research Analyst,"Bellville, Western Cape",Permanent Intermediate position,The Talent Experts,R Undisclosed,,09 Dec 2022,03 Jan 2023,25,24,https://www.careerjunction.co.za/fund-manager-research-analyst-job-2494727.aspx
62,Strategic and Commercial Manager,"Johannesburg, Gauteng",Permanent Management position,T and T Academy,"R40,000 - R55,000 per month",40000.0,09 Dec 2022,03 Jan 2023,25,24,https://www.careerjunction.co.za/strategic-and-commercial-manager-job-2494670.aspx
63,General Manager: Africa,"Johannesburg, Gauteng",Permanent Intermediate position,Boardroom Appointments,R Undisclosed,,09 Dec 2022,29 Dec 2022,20,19,https://www.careerjunction.co.za/general-manager-africa-job-2494775.aspx
64,Technology Service Performance Manager,"Cape Town Region, Western Cape",Permanent Senior EE position,Afrizan People Intelligence,R Undisclosed,,09 Dec 2022,03 Jan 2023,25,24,https://www.careerjunction.co.za/technology-service-performance-manager-job-2494677.aspx
65,Client Services Manager (CPT Hybrid) at Datafin Recruitment,"Pinelands, Western Cape",Permanent Management position,Datafin,R Undisclosed,,09 Dec 2022,28 Dec 2022,19,18,https://www.careerjunction.co.za/client-services-manager-cpt-hybrid-at-datafin-recruitment-job-2494669.aspx
66,Investigation Manager,"Johannesburg, Gauteng",Contract Senior position,Network Contracting Solutions,R496.00 - R546.00 per hour,79360.0,09 Dec 2022,14 Dec 2022,5,4,https://www.careerjunction.co.za/investigation-manager-job-2494751.aspx
67,Treasury Manager,"Johannesburg, Gauteng",Permanent Management position,OutsideCapital,"R83,300 - R108,300 per month",83300.0,09 Dec 2022,03 Jan 2023,25,24,https://www.careerjunction.co.za/treasury-manager-job-2494709.aspx
68,IT Governance Manager,"Eikenbosch, Western Cape",Permanent Senior position,Recru-it,R Undisclosed,,09 Dec 2022,29 Dec 2022,20,19,https://www.careerjunction.co.za/it-governance-manager-job-2494647.aspx
69,CENTRE MANAGER,"Johannesburg North (Johannesburg North), Gauteng",Permanent Senior position,Secondments,R Undisclosed,,09 Dec 2022,03 Jan 2023,25,24,https://www.careerjunction.co.za/centre-manager-job-2494749.aspx
70,Data Manager/Scientist (20 Months) Wits GRT  at AJ Personnel,"Johannesburg Region, Gauteng",Contract Intermediate position,AJ Personnel,R Undisclosed,,09 Dec 2022,30 Dec 2022,21,20,https://www.careerjunction.co.za/data-manager-scientist-20-months-wits-grt-at-aj-personnel-job-2494746.aspx
71,Vendor/Account Manager at Nutun,"Sandown, Gauteng",Permanent Senior position,Nutun,Undisclosed,,08 Dec 2022,11 Jan 2023,34,32,https://www.careerjunction.co.za/vendor-account-manager-at-nutun-job-2495776.aspx
72,DIVISIONAL MANAGER: APPLICATIONS MANAGEMENT- R106000.00,"Durban (Durban CBD), KwaZulu-Natal",Permanent Senior position,Affirmative Portfolios,Undisclosed,,09 Dec 2022,25 Dec 2022,16,15,https://www.careerjunction.co.za/divisional-manager-applications-management-r10600000-job-2493384.aspx
73,Health and Safety Manager at AGL,"Kempton Park, Gauteng",Permanent Specialist EE position,Tiger Personnel Management,"R20,800 - R25,000 per month",20800.0,09 Dec 2022,16 Dec 2022,7,6,https://www.careerjunction.co.za/health-and-safety-manager-at-agl-job-2492355.aspx
74,Product Manager at Quest Staffing Solutions,"West Rand Garden AH, Gauteng",Contract Management position,Quest,"R70,000 per month",70000.0,09 Dec 2022,12 Jan 2023,34,33,https://www.careerjunction.co.za/product-manager-at-quest-staffing-solutions-job-2495785.aspx
75,CORPORATE ACCOUNT MANAGER/DEBT COLLECTION,"Johannesburg, Gauteng",Permanent Intermediate position,Recruitment & Placement Executives,"R23,000 - R25,000 per month",23000.0,10 Dec 2022,26 Dec 2022,16,16,https://www.careerjunction.co.za/corporate-account-manager-debt-collection-job-2493532.aspx
76,ERP Manager,"Johannesburg, Gauteng",Permanent Intermediate position,Boardroom Appointments,R Undisclosed,,08 Dec 2022,29 Dec 2022,21,19,https://www.careerjunction.co.za/erp-manager-job-2494701.aspx
77,Plant Energy Manager at Headhunters,"Eastern Cape, South Africa",Permanent Senior position,Headhunters (Head Office),R Undisclosed,,08 Dec 2022,30 Dec 2022,22,20,https://www.careerjunction.co.za/plant-energy-manager-at-headhunters-job-2494632.aspx
78,Planning Manager at Headhunters,"Johannesburg Region, Gauteng",Permanent Intermediate position,Headhunters (Head Office),R Undisclosed,,08 Dec 2022,30 Dec 2022,22,20,https://www.careerjunction.co.za/planning-manager-at-headhunters-job-2494637.aspx
79,Strategic and Commercial Manager,"Randburg, Gauteng",Permanent Management position,T and T Academy,"R45,000 - R55,000 per month",45000.0,08 Dec 2022,03 Jan 2023,26,24,https://www.careerjunction.co.za/strategic-and-commercial-manager-job-2494648.aspx
