,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
624,Credit Controller & Finance Assistant at Reverside,"Gauteng, South Africa",Permanent Intermediate position,Reverside Professional Services,R Undisclosed,,25 Nov 2022,20 Dec 2022,25,18,https://www.careerjunction.co.za/credit-controller-%26-finance-assistant-at-reverside-job-2492807.aspx
625,Junior Credit Controller & Finance Assistant at Reverside,"Gauteng, South Africa",Permanent Intermediate position,Reverside Professional Services,R Undisclosed,,25 Nov 2022,20 Dec 2022,25,18,https://www.careerjunction.co.za/junior-credit-controller-%26-finance-assistant-at-reverside-job-2492793.aspx
626,Financial Manager (automotive manufacturing),"Isando, Gauteng",Permanent Management position,Bay Recruitment,"R55,000 - R68,000 per month",55000.0,25 Nov 2022,11 Dec 2022,16,9,https://www.careerjunction.co.za/financial-manager-automotive-manufacturing-job-2491526.aspx
627,Senior Java Developer,"Johannesburg Region, Gauteng",Permanent Senior position,IT Network Recruitment & Consulting,Undisclosed,,25 Nov 2022,11 Dec 2022,16,9,https://www.careerjunction.co.za/senior-java-developer-job-2491512.aspx
628,Senior Systems Compliance Analyst,"Centurion, Gauteng",Permanent Senior EE position,Godisanang Recruitment (Pty) Ltd,Undisclosed,,25 Nov 2022,11 Dec 2022,16,9,https://www.careerjunction.co.za/senior-systems-compliance-analyst-job-2491435.aspx
629,Operations Manager,"Sandton, Gauteng",Permanent Intermediate position,Taylored Appointments,Undisclosed,,30 Nov 2022,26 Dec 2022,26,24,https://www.careerjunction.co.za/operations-manager-job-2493579.aspx
630,Manager Quantitative Analytics,"Johannesburg, Gauteng",Permanent Management position,talentCRU (RPO),R Undisclosed,,28 Nov 2022,01 Jan 2023,34,30,https://www.careerjunction.co.za/manager-quantitative-analytics-job-2494261.aspx
631,Junior Accountant for Financial Services Company based in Sandton,"Sandown, Gauteng",Permanent Intermediate position,Redline Recruitment,"R20,000 - R25,000 per month",20000.0,24 Nov 2022,19 Dec 2022,25,17,https://www.careerjunction.co.za/junior-accountant-for-financial-services-company-based-in-sandton-job-2492741.aspx
632,Senior HR Manager (Pretoria) at Abantu Staffing Solutions,"Pretoria Region, Gauteng",Permanent Senior position,Abantu Staffing Solutions,R Undisclosed,,24 Nov 2022,15 Dec 2022,21,13,https://www.careerjunction.co.za/senior-hr-manager-pretoria-at-abantu-staffing-solutions-job-2492734.aspx
633,HR Business Partner,"Isando, Gauteng",Permanent Specialist position,Integration Resourcing,R Undisclosed,,28 Nov 2022,01 Jan 2023,34,30,https://www.careerjunction.co.za/hr-business-partner-job-2494212.aspx
634,Quality Control Officer,"Randburg, Gauteng",Permanent Specialist position,RAD Resources SA,"R28,000 - R32,000 per month",28000.0,29 Nov 2022,02 Jan 2023,34,31,https://www.careerjunction.co.za/quality-control-officer-job-2494547.aspx
635,Product Head: Cash Planning,"Cape Town, Western Cape",Permanent Senior position,wePlace,R Undisclosed,,28 Nov 2022,09 Dec 2022,11,7,https://www.careerjunction.co.za/product-head-cash-planning-job-2492126.aspx
636,Brand Ambassador,"Johannesburg, Gauteng",Permanent Intermediate position,Boardroom Appointments,R Undisclosed,,28 Nov 2022,27 Dec 2022,29,25,https://www.careerjunction.co.za/brand-ambassador-job-2494187.aspx
637,Brand Ambassador,"Johannesburg, Gauteng",Permanent Intermediate position,Boardroom Appointments,R Undisclosed,,28 Nov 2022,27 Dec 2022,29,25,https://www.careerjunction.co.za/brand-ambassador-job-2494184.aspx
638,BI Admin/Engineer (CPT Hybrid) at Datafin Recruitment,"Cape Town, Western Cape",Permanent Executive position,Datafin,R Undisclosed,,02 Dec 2022,30 Dec 2022,28,28,https://www.careerjunction.co.za/bi-admin-engineer-cpt-hybrid-at-datafin-recruitment-job-2495021.aspx
639,Warehouse Manager at Business Directive Contract Services,"Milnerton, Western Cape",Contract Senior position,Business Directive Contract Services,R Undisclosed,,26 Nov 2022,04 Dec 2022,8,2,https://www.careerjunction.co.za/warehouse-manager-at-business-directive-contract-services-job-2490378.aspx
640,Business Intelligence Developer at Salvage Management and Disposals,"Centurion, Gauteng",Permanent Intermediate position,Salvage Management & Disposals (SMD),"R20,000 - R30,000 per month",20000.0,25 Nov 2022,20 Dec 2022,25,18,https://www.careerjunction.co.za/business-intelligence-developer-at-salvage-management-and-disposals-job-2492918.aspx
641,Senior .Net Developer at Datafin Recruitment,"Durbanville, Western Cape",Permanent Senior position,Datafin,R Undisclosed,,24 Nov 2022,22 Dec 2022,28,20,https://www.careerjunction.co.za/senior-net-developer-at-datafin-recruitment-job-2493937.aspx
642,Mobile Developer,"Midrand, Gauteng",Permanent Intermediate position,Kwena Human Capital,Undisclosed,,02 Dec 2022,27 Dec 2022,25,25,https://www.careerjunction.co.za/mobile-developer-job-2493786.aspx
643,Junior Java Developer at Reverside,"Gauteng, South Africa",Permanent Intermediate position,Reverside Professional Services,Commission Only,,29 Nov 2022,15 Dec 2022,16,13,https://www.careerjunction.co.za/junior-java-developer-at-reverside-job-2492294.aspx
644,Systems Analyst (Test Automation Engineer - Remote at Abantu Staffing Solutions,"Eastern Cape, South Africa",Permanent Senior position,Abantu Staffing Solutions,R Undisclosed,,29 Nov 2022,11 Dec 2022,12,9,https://www.careerjunction.co.za/systems-analyst-test-automation-engineer-remote-at-abantu-staffing-solutions-job-2492289.aspx
645,Quality Manager,"Port Elizabeth, Eastern Cape",Permanent Management position,MPC Recruitment (MPC Recruitment),Undisclosed,,24 Nov 2022,20 Dec 2022,26,18,https://www.careerjunction.co.za/quality-manager-job-2492838.aspx
646,Solution Architect III - Customer Marketing,"Cape Town, Western Cape",Permanent Senior position,Recru-it,R Undisclosed,,27 Nov 2022,08 Dec 2022,11,6,https://www.careerjunction.co.za/solution-architect-iii-customer-marketing-job-2493243.aspx
647,Administrator Section 13A Employer Management and Maintenance Administrator at Bay Recruit,"Midrand, Gauteng",Permanent Intermediate position,Bay Recruitment,Undisclosed,,24 Nov 2022,19 Dec 2022,25,17,https://www.careerjunction.co.za/administrator-section-13a-employer-management-and-maintenance-administrator-at-bay-recruit-job-2492631.aspx
648,IT Cloud Engineer (CH857) at Capital H Staffing and Advisory Solutions,"Cape Town Region, Western Cape",Permanent Intermediate position,Capital H Staffing,R Undisclosed,,30 Nov 2022,21 Dec 2022,21,19,https://www.careerjunction.co.za/it-cloud-engineer-ch857-at-capital-h-staffing-and-advisory-solutions-job-2493457.aspx
649,Financial Administrator at Reverside,"Gauteng, South Africa",Permanent Intermediate position,Reverside Professional Services,R Undisclosed,,24 Nov 2022,20 Dec 2022,26,18,https://www.careerjunction.co.za/financial-administrator-at-reverside-job-2492783.aspx
650,Software Development Project Manager at Sabenza IT,"Centurion, Gauteng",Permanent Intermediate position,DCV Sabenza IT and Recruitment,R Undisclosed,,30 Nov 2022,03 Jan 2023,34,32,https://www.careerjunction.co.za/software-development-project-manager-at-sabenza-it-job-2494618.aspx
651,BI / Qlik Developer at OVERHEAD OVERLOAD T/A PERSONNEL LOGIC,"Morningside, KwaZulu-Natal
 / Work From Home",Permanent Senior position,Personnel Logic,"R50,000 - R60,000 per month",50000.0,29 Nov 2022,07 Dec 2022,8,5,https://www.careerjunction.co.za/bi-qlik-developer-at-overhead-overload-t-a-personnel-logic-job-2491032.aspx
652,Quality Manager ~ Automotive Manufacturing at Dawning Truth,"Rosslyn, Gauteng",Permanent Management position,Dawning Truth Recruitment,"R40,000 - R60,000 per month",40000.0,01 Dec 2022,26 Dec 2022,25,24,https://www.careerjunction.co.za/quality-manager-automotive-manufacturing-at-dawning-truth-job-2493565.aspx
653,IT Operations Manager (Cash Devices) at Datafin Recruitment,"Stellenbosch, Western Cape",Permanent Management position,Datafin,R Undisclosed,,01 Dec 2022,20 Dec 2022,19,18,https://www.careerjunction.co.za/it-operations-manager-cash-devices-at-datafin-recruitment-job-2493516.aspx
654,VMware Consultant,"Mount Edgecombe, KwaZulu-Natal",Permanent Specialist position,Chosen Online,"R70,000 - R80,000 per month",70000.0,29 Nov 2022,02 Jan 2023,34,31,https://www.careerjunction.co.za/vmware-consultant-job-2494575.aspx
655,Junior Contact Centre Agent at Rand Mutual Assurance,"Johannesburg Region, Gauteng",Permanent Junior position,Rand Mutual Administration,R Undisclosed,,29 Nov 2022,02 Dec 2022,3,0,https://www.careerjunction.co.za/junior-contact-centre-agent-at-rand-mutual-assurance-job-2491006.aspx
656,Principal Technical Leader - Wastewater Design and Contract Management at GIBB,"New Redruth, Gauteng",Permanent Senior position,GIBB,R Undisclosed,,27 Nov 2022,13 Dec 2022,16,11,https://www.careerjunction.co.za/principal-technical-leader-wastewater-design-and-contract-management-at-gibb-job-2491852.aspx
657,Sales and Operational Specialist at Universal Healthcare Pty Ltd,"Bellville, Western Cape",Permanent Specialist EE position,Universal Healthcare,R Undisclosed,,30 Nov 2022,08 Dec 2022,8,6,https://www.careerjunction.co.za/sales-and-operational-specialist-at-universal-healthcare-pty-ltd-job-2491250.aspx
658,SAP Consultant at Nihilent Technologies,"Sandown, Gauteng",Contract Intermediate position,HRvisory,"R70,000 - R75,000 per month",70000.0,26 Nov 2022,12 Dec 2022,16,10,https://www.careerjunction.co.za/sap-consultant-at-nihilent-technologies-job-2491639.aspx
