,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
24,General Manager Marketing,"Midrand, Gauteng",Permanent Management position,,Undisclosed,,02 Dec 2022,05 Jan 2023,34,32,https://www.careerjunction.co.za/general-manager-marketing-job-2495054.aspx
25,Fabrication Manager,"East Rand, Gauteng",Permanent Senior position,Taylored Appointments,"R41,700 - R48,300 per month",41700.0,02 Dec 2022,19 Dec 2022,17,15,https://www.careerjunction.co.za/fabrication-manager-job-2492687.aspx
26,Manager Treasury and Payroll at Armscor,"Erasmuskloof, Gauteng",Permanent Senior EE position,ARMSCOR,Undisclosed,,02 Dec 2022,27 Dec 2022,25,23,https://www.careerjunction.co.za/manager-treasury-and-payroll-at-armscor-job-2493825.aspx
27,LEARNING AND DEVELOPMENT MANAGER at Healthcare,"Sunninghill, Gauteng",Permanent Senior position,Che Leigh Personnel Consultants,R Undisclosed,,02 Dec 2022,19 Dec 2022,17,15,https://www.careerjunction.co.za/learning-and-development-manager-at-healthcare-job-2492635.aspx
28,Implementation and Consulting Manager,"Johannesburg North (Johannesburg North), Gauteng",Permanent Intermediate position,Strategic Personnel,"R58,300 - R62,500 per month",58300.0,02 Dec 2022,08 Dec 2022,6,4,https://www.careerjunction.co.za/implementation-and-consulting-manager-job-2493891.aspx
29,Data Manager (Wits CHRU)  at AJ Personnel,"Johannesburg Region, Gauteng",Permanent Intermediate position,AJ Personnel,R Undisclosed,,02 Dec 2022,15 Dec 2022,13,11,https://www.careerjunction.co.za/data-manager-wits-chru-at-aj-personnel-job-2492646.aspx
30,Key Accounts Manager - Flexible Packaging,"Sandton, Gauteng",Permanent Intermediate position,Talentsphere,R Undisclosed,,02 Dec 2022,31 Dec 2022,29,27,https://www.careerjunction.co.za/key-accounts-manager-flexible-packaging-job-2495051.aspx
31,Implementation and Consulting Manager,"Sandton, Gauteng",Permanent Management position,T and T Academy,"R45,000 - R60,000 per month",45000.0,02 Dec 2022,05 Jan 2023,34,32,https://www.careerjunction.co.za/implementation-and-consulting-manager-job-2479840.aspx
32,Unit Manager (ICU) Jhb,"Johannesburg Region, Gauteng",Permanent Management position,MVG Recruitment Specialists,Undisclosed,,02 Dec 2022,05 Jan 2023,34,32,https://www.careerjunction.co.za/unit-manager-icu-jhb-job-2494988.aspx
33,Logistics Manager ~ Automotive Tier 1,"Rosslyn, Gauteng",Permanent Management position,Dawning Truth Recruitment,"R20,000 - R50,000 per month",20000.0,02 Dec 2022,05 Jan 2023,34,32,https://www.careerjunction.co.za/logistics-manager-automotive-tier-1-job-2494984.aspx
34,Group Manager - Organisational Design-Development and Rewards,"Kempton Park, Gauteng",Permanent Executive position,T and T Academy,"R100,000 - R183,300 per month",100000.0,02 Dec 2022,27 Dec 2022,25,23,https://www.careerjunction.co.za/group-manager-organisational-design-development-and-rewards-job-2493751.aspx
35,Business Unit Manager Tools and Equipment,"Droste Park, Gauteng",Permanent Specialist position,SKA Recruitment,"R50,000 - R57,000 per month",50000.0,02 Dec 2022,05 Jan 2023,34,32,https://www.careerjunction.co.za/business-unit-manager-tools-and-equipment-job-2494964.aspx
36,MARKETING MANAGER at Healthcare,"Sunninghill, Gauteng",Permanent Intermediate position,Che Leigh Personnel Consultants,"R00 - R60,000 per month",0.0,02 Dec 2022,18 Dec 2022,16,14,https://www.careerjunction.co.za/marketing-manager-at-healthcare-job-2492477.aspx
37,Brand Manager,"Centurion, Gauteng",Permanent Intermediate EE position,Kwena Human Capital,Undisclosed,,02 Dec 2022,18 Dec 2022,16,14,https://www.careerjunction.co.za/brand-manager-job-2492556.aspx
38,General Manager: Procurement,"West Rand, Gauteng",Permanent Management EE position,Godisanang Recruitment (Pty) Ltd,Undisclosed,,02 Dec 2022,05 Jan 2023,34,32,https://www.careerjunction.co.za/general-manager-procurement-job-2481785.aspx
39,Complaints & Query Resolutions Manager,"Midridge Park, Gauteng",Permanent Senior EE position,Heitha Staffing Group,"R58,300 - R66,700 per month",58300.0,02 Dec 2022,27 Dec 2022,25,23,https://www.careerjunction.co.za/complaints-%26-query-resolutions-manager-job-2493728.aspx
40,Leasing Manager - Student Accommodation,"Pretoria, Gauteng",Permanent Management position,Ability Recruitment Group (Pty) Ltd,R Undisclosed,,02 Dec 2022,13 Dec 2022,11,9,https://www.careerjunction.co.za/leasing-manager-student-accommodation-job-2493714.aspx
41,Key Account Manager - Beauty Channel  at Rory Mackie & Associates,"Johannesburg Region, Gauteng",Permanent Senior position,Rory Mackie & Associates,R Undisclosed,,02 Dec 2022,14 Dec 2022,12,10,https://www.careerjunction.co.za/key-account-manager-beauty-channel-at-rory-mackie-%26amp-associates-job-2492463.aspx
