,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
22,Linux Engineer at Reverside,"Gauteng, South Africa",Permanent Senior position,Reverside Professional Services,Commission Only,,03 Dec 2022,28 Dec 2022,25,24,https://www.careerjunction.co.za/linux-engineer-at-reverside-job-2493889.aspx
23,Computer Aided Manufacturing Engineer at SFG Engineering,"Cape Town CBD, Western Cape",Permanent Senior position,SFG Engineering Services,R Undisclosed,,03 Dec 2022,28 Dec 2022,25,24,https://www.careerjunction.co.za/computer-aided-manufacturing-engineer-at-sfg-engineering-job-2493893.aspx
24,Support Engineer at Axiz (Pty) Ltd,"Midrand, Gauteng",Permanent Intermediate position,Axiz,R Undisclosed,,03 Dec 2022,11 Dec 2022,8,7,https://www.careerjunction.co.za/support-engineer-at-axiz-pty-ltd-job-2491394.aspx
25,Junior Sales Engineer (Spares - Grinding Mills),"Johannesburg, Gauteng",Contract Junior position,SciTech Placements (Pty) Ltd,R Undisclosed,,02 Dec 2022,23 Dec 2022,21,19,https://www.careerjunction.co.za/junior-sales-engineer-spares-grinding-mills-job-2493923.aspx
26,Epos Helpdesk engineer at YumaPOS,"United Kingdom
 / Work From Home",Permanent Specialist position,yumapos,"R15,000 - R20,000 per month",15000.0,02 Dec 2022,09 Dec 2022,7,5,https://www.careerjunction.co.za/epos-helpdesk-engineer-at-yumapos-job-2491358.aspx
27,Sales Engineer,"Midstream Estate, Gauteng",Permanent Specialist position,Milton Resourcing (Pty) Ltd,"R58,300 per month",58300.0,02 Dec 2022,19 Dec 2022,17,15,https://www.careerjunction.co.za/sales-engineer-job-2492659.aspx
28,Design Engineer at Headhunters,"Eastern Cape, South Africa",Permanent Intermediate position,Headhunters (Head Office),R Undisclosed,,02 Dec 2022,15 Dec 2022,13,11,https://www.careerjunction.co.za/design-engineer-at-headhunters-job-2492592.aspx
29,Senior Cloud Engineer,"Houghton Estate, Gauteng",Contract Senior position,Praesignis (Pty) LTD,R Undisclosed,,02 Dec 2022,31 Dec 2022,29,27,https://www.careerjunction.co.za/senior-cloud-engineer-job-2495031.aspx
30,Data Engineer (Product) (CPT Only) at Datafin Recruitment,"Stellenbosch, Western Cape",Permanent Executive position,Datafin,R Undisclosed,,02 Dec 2022,30 Dec 2022,28,26,https://www.careerjunction.co.za/data-engineer-product-cpt-only-at-datafin-recruitment-job-2495041.aspx
31,Data Engineer III - Platform (CPT/JHB) at Datafin Recruitment,"Stellenbosch, Western Cape",Permanent Executive position,Datafin,R Undisclosed,,02 Dec 2022,30 Dec 2022,28,26,https://www.careerjunction.co.za/data-engineer-iii-platform-cpt-jhb-at-datafin-recruitment-job-2495045.aspx
32,Data Engineer (CPT Only) at Datafin Recruitment,"Stellenbosch, Western Cape",Permanent Executive position,Datafin,R Undisclosed,,02 Dec 2022,30 Dec 2022,28,26,https://www.careerjunction.co.za/data-engineer-cpt-only-at-datafin-recruitment-job-2495043.aspx
33,Technical Customer Engineer at Headhunters,"Durban Region, KwaZulu-Natal",Permanent Intermediate position,Headhunters (Head Office),R Undisclosed,,02 Dec 2022,01 Jan 2023,30,28,https://www.careerjunction.co.za/technical-customer-engineer-at-headhunters-job-2495010.aspx
34,BI Admin/Engineer (CPT Hybrid) at Datafin Recruitment,"Cape Town, Western Cape",Permanent Executive position,Datafin,R Undisclosed,,02 Dec 2022,30 Dec 2022,28,26,https://www.careerjunction.co.za/bi-admin-engineer-cpt-hybrid-at-datafin-recruitment-job-2495021.aspx
35,Technical Support Engineer at Datafin Recruitment,"Cape Town, Western Cape",Permanent Intermediate position,Datafin,"R40,000 - R50,000 per month",40000.0,02 Dec 2022,30 Dec 2022,28,26,https://www.careerjunction.co.za/technical-support-engineer-at-datafin-recruitment-job-2495005.aspx
36,QA Test Engineer at Datafin Recruitment,"Parklands, Western Cape",Permanent Executive position,Datafin,R Undisclosed,,02 Dec 2022,30 Dec 2022,28,26,https://www.careerjunction.co.za/qa-test-engineer-at-datafin-recruitment-job-2494990.aspx
37,Pre Sales Engineer- VMware,"Gauteng, South Africa",Permanent Intermediate position,Hi-Tech Cape Town,R35 - R55 per month,35.0,02 Dec 2022,31 Dec 2022,29,27,https://www.careerjunction.co.za/pre-sales-engineer-vmware-job-2494992.aspx
38,Mechanical Design Engineer (Netherlands),"Johannesburg North (Johannesburg North), Gauteng",Permanent Intermediate position,SciTech Placements (Pty) Ltd,R Undisclosed,,02 Dec 2022,16 Dec 2022,14,12,https://www.careerjunction.co.za/mechanical-design-engineer-netherlands-job-2493670.aspx
39,IT INFRASTRUCTURE ENGINEER,"Eikenbosch, Western Cape",Permanent Intermediate position,Manpower SA,R Undisclosed,,02 Dec 2022,22 Dec 2022,20,18,https://www.careerjunction.co.za/it-infrastructure-engineer-job-2493806.aspx
40,QA Engineer,"Cape Town Region, Western Cape",Permanent Intermediate position,60 Degrees Recruitment,R Undisclosed,,02 Dec 2022,27 Dec 2022,25,23,https://www.careerjunction.co.za/qa-engineer-job-2493773.aspx
41,Plant Engineer (2.13.1),"Johannesburg North (Johannesburg North), Gauteng",Permanent Intermediate position,Green Marble Recruitment Consultants,"R83,300 - R108,300 per month",83300.0,02 Dec 2022,12 Dec 2022,10,8,https://www.careerjunction.co.za/plant-engineer-2131-job-2492514.aspx
42,Release Engineer,"Cape Town CBD, Western Cape",Permanent Intermediate position,MIT Recruitment,Undisclosed,,02 Dec 2022,27 Dec 2022,25,23,https://www.careerjunction.co.za/release-engineer-job-2493658.aspx
