,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
241,Registered Nurse Theatre Qualified,"Johannesburg, Gauteng",Permanent Intermediate position,Mass Staffing Projects,"R16,700 - R33,300 per month",16700.0,29 Nov 2022,02 Jan 2023,34,29,https://www.careerjunction.co.za/registered-nurse-theatre-qualified-job-2494406.aspx
242,Market Insights Strategist at Fempower Personnel,"Johannesburg Region, Gauteng",Permanent Senior position,Fempower Personnel,R Undisclosed,,29 Nov 2022,11 Dec 2022,12,7,https://www.careerjunction.co.za/market-insights-strategist-at-fempower-personnel-job-2492270.aspx
243,Payroll Manager,"Cape Town CBD, Western Cape",Permanent Senior position,Shelley Russak Appointments,"R55,000 - R60,000 per month",55000.0,02 Dec 2022,18 Dec 2022,16,14,https://www.careerjunction.co.za/payroll-manager-job-2492562.aspx
244,Office Manager / PA at Candidate Connect,"Cape Town Region, Western Cape",Permanent Intermediate position,Candidate Connect,R Undisclosed,,01 Dec 2022,31 Dec 2022,30,27,https://www.careerjunction.co.za/office-manager-pa-at-candidate-connect-job-2494803.aspx
245,Junior Girl Friday,"Linbro Park AH, Gauteng",Permanent Junior position,DMA Group,"R7,999 - R8,000 per month",7999.0,27 Nov 2022,13 Dec 2022,16,9,https://www.careerjunction.co.za/junior-girl-friday-job-2491872.aspx
246,Senior Database Administrator at M&M Consulting,"Woodmead, Gauteng",Permanent Intermediate position,M&M Consulting Services and Talent Acquisition,"R40,000 per month",40000.0,30 Nov 2022,26 Dec 2022,26,22,https://www.careerjunction.co.za/senior-database-administrator-at-m%26m-consulting-job-2493582.aspx
247,Network Engineer,"Johannesburg North (Johannesburg North), Gauteng",Permanent Senior position,Manpower SA,R Undisclosed,,03 Dec 2022,23 Dec 2022,20,19,https://www.careerjunction.co.za/network-engineer-job-2493976.aspx
248,IT Systems Administrator,"Johannesburg North (Johannesburg North), Gauteng",Permanent Intermediate position,Recru-it,R01 per month,1.0,03 Dec 2022,14 Dec 2022,11,10,https://www.careerjunction.co.za/it-systems-administrator-job-2492670.aspx
249,Product Owner,"Illovo, Gauteng",Permanent Specialist position,Montana Resourcing (PTY) Ltd,"R70,800 - R83,300 per month",70800.0,02 Dec 2022,18 Dec 2022,16,14,https://www.careerjunction.co.za/product-owner-job-2492500.aspx
250,Senior Technical Manager at Abantu Staffing Solutions,"Eastern Cape, South Africa",Permanent Senior position,Abantu Staffing Solutions,R Undisclosed,,02 Dec 2022,14 Dec 2022,12,10,https://www.careerjunction.co.za/senior-technical-manager-at-abantu-staffing-solutions-job-2492443.aspx
251,Outbound Sales Consultant (Tele Systems) at Top Vitae,"Eastern Cape, South Africa",Permanent Intermediate position,Top Vitae Recruitment,R Undisclosed,,28 Nov 2022,28 Dec 2022,30,24,https://www.careerjunction.co.za/outbound-sales-consultant-tele-systems-at-top-vitae-job-2494356.aspx
252,Business Development Manager (Healthcare),"Johannesburg, Gauteng",Permanent Specialist position,RAD Resources SA,"R60,000 - R70,000 per month",60000.0,01 Dec 2022,04 Jan 2023,34,31,https://www.careerjunction.co.za/business-development-manager-healthcare-job-2494893.aspx
